Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
ОСТАТОЦИ ОД СВЕТОТ,"Драматична и потресна сага за „векот на логорите“, како што уште се нарекува XX век. Човековата трагична судбина од Шпанската граѓанска војна преку Јасеновац и Блајбург, Кравица и Сребреница, сè до бомбардирањето на Србија од страна на НАТО, се одвива на големите платна на толеранцијата, опстанокот и болката. Главната протагонистка на романот со својот чудесен ерос воспоставува баланс помеѓу темнината и светлината нудејќи надеж во спасувањето на невиното, или барем инаков поглед на она што останало во „остатоците од светот“.
„Несомнено најдобриот роман на Игор Маројевиќ досега.“ – Зоран Богнар
„Еден од најдобрите српски романи во XXI век.“ – д-р Игор Перишиќ",Романи,Игор Маројевиќ,Антолог-Боокс ДООЕЛ,,,500 ден.
БИСЕРНАТА СЕСТРА,,Романи,Лусинда Рајли,Матица,,,550 ден.
ИМОТ,"Со овој роман со кој Тоци влезе во историјата на италијанската литература, а критиката го споредуваше со Кафка и со Достоевски и се смета за значајно дело на италијанската литература од првите децении на 20 век. Во „Имот“ тој го опишува светот на немирот, неспокојот и стравот предизвикани од контактот со реалноста којашто е заканувачка, мрачна, агресивна.Тоа е свет составен од трауми, отворени рани, длабоки повреди на личноста, каде што несовесните личности се подложни на влијанија и се однесуваат нелогично и со несвесни импулси.
Тоци раскажува интригантна и смела приказна. Во романот „Имот“, Федериго Тоци се обидува да се наврати, иако без да ги негира неговите претходни иновации, на потрадиционалните стил и форма. Делото на Федериго Тоци го открива вкусот на најдобрата италијанска фантастика. „Имот“ завршува телеграфски, но страниците што го подготвуваат крајот на делото ѝ припаѓаат на големата литература.",Романи,Федериго Тоци,Македоника Литера,,,200 ден.
МОЈАТА ГЕНИЈАЛНА ДРУГАРКА,"Моќна и длабока приказна за доживотното женско пријателство и ривалство.
Приказната ja раскажува шеесетгодишната Елена која, соочена со мистериозното исчезнување на својата другарка Лила, решава да го овековечи секој детаљ од нивното заедничко минато. Растејќи во сиромашното неаполско маало во 50-тите, на суровите улици и во школските клупи, двете девојчиња учат да се потпираат една на друга пред сите детски стравови и предизвици. Иако патиштата непрестајно им се вкрстуваат и раскрстуваат, овие две дијаметрално спротивни жени сепак остануваат најверни другарки чии судбини се огледуваат една во друга и се прекршуваат.
Со првиот дел од тетралогијата Неаполски романи, Феранте се докажува како еден од најголемите италијански раскажувачи на сите времиња. Оригиналната и бескомпромисно искрена проза совршено ги портретира овие два женски лика обликувани во контекстот на повоена Италија. Мајсторски скроен и трепетно возбудлив наратив што го одзема здивот со секоја нова авантура на двете хероини.
Елена Феранте е италијанска писателка што пишува под псевдоним и чиј вистински идентитет не е познат во јавноста. Живее во Неапол. Се смета за највлијателна на својата генерација. Авторка е на десетина романи, од кои се издвојуваат „Вознемирувачка љубов“ (1992), „Денови на заборав“ (2002), „Загубената ќерка“ (2008), а со светска слава се стекнува токму со првиот од четирите Неаполски романи, „Мојата генијална другарка“ (2011), серијал што ја донесе во најтесна конкуренција за неколку престижни книжевни награди.",Романи,Елена Феранте,ТРИ,,,413 ден. 550 ден.
СЕСТРА НА МЕСЕЧИНАТА,"Тајгета, или нагалено Тиги, е најмистичната а воедно и најдуховна од сестрите Д' Аплиез. По смртта на Тате Солт, Тиги тргнува по трагите на своето потекло и стигнува во далечните и диви планини на Шкотска. Таму се занимава со она што е нејзина професија и нејзина склоност, а тоа е да се грижи за ретки видови животни. Но, во Шкотска го запознава и Чарли Кинард - шармантен кардиохирург, оженет и на прв поглед повеќе од недостижен. На имотот Кинард, Тиги наидува на Чили, стар, мистичен потомок на хитаноси од Гранада, Шпанија. Уште при првата средба, двајцата ќе почувствуваат меѓусебна приврзаност. Бујната шпанска крв врие во Тиги и таа дознава дека нејзиниот темперамент доаѓа од нејзината врска со легендарната циганска заедница во Сакромонте, а најмногу од нејзината нескршлива баба, големата танчарка на фламенко, Ла Кандела. Од шкотските планини и Шпанија до Јужна Америка и Њујорк, Тиги го следи патот што ја доведува до нејзиното сложено, но егзотично минато. Книгава открива и многу од длабоката тајна на Тате Солт, но која е седмата сестра и ккава е улогата на тајното сопче што Тиги го открива во Атлантида - заедничката куќа на сестрите, Лусинда Рајли не открива.",Романи,Лусинда Рајли,Матица,,,550 ден.
АБРАКСАС,"Абраксас е мистичното име на контрадикторниот бог кој ги отклучува вратите на собите со огледала кои ја разобличуваат реалноста во која живее главниот лик на романот, Мики Луческу.
Живеејќи осамено и сиромашно во изнајмена соба на едно поткровје, Мики одеднаш го понесуваат сеќавањата инспирирани од влезот и ходниците на станбената зграда од неговото детството. Во тоа чудно здание чувано од два камени лава живеел заедно со неговата мајка – сликарка и силна жена која била олицетворение на силата на природата. Мики почнува да ги отвора сите единаесет станови од зградата, но секогаш наместо во стан, влегува во некое старо кино, каде што гледа филмови во кои тој истовремено е и гледач и протагонист во филмот на сопствениот неуспех и самоуништување. Епизодите се одвиваат во различни точки на времето и просторот, почнувајќи од темните времиња на крстоносната војна на Фредерик Барбароса до постапокалиптичната визија на поплавенииот Букурешт, минувајќи низ Виена на Јаков Леви Морено, Париз на Илари Воронка и низ Њујорк на Делмор Шварц. Од сите овие парчиња, некои јасни, други заматени, полека, но сигурно ја составува душата и карактерот на главниот лик во романот, Човекот. Затоа што Абраксас е и светлина и темнина, и живот и смрт, а во исто време е и љубов и нејзино уништување. Тој е целиот свет.",Романи,Богдан-Александру Станеску,Антолог-Боокс ДООЕЛ,,,700 ден.
СИТЕ ЦВЕЌИЊА ВО ПАРИЗ - САРА ЏИО,"Две жени се поврзани низ времето во градот Париз, поврзани со мистериозен дневник и шокантни тајни кои се протегаат од Втората светска војна до сегашноста.
Кога Керолајн се буди во една болница во Париз и не се сеќава на своето минато, се разочарува кога дознава дека со години водела тажен, осаменички живот во стан покрај Сена. Кога полека почнуваат да ѝ се враќаат некои бледи спомени од маж и мало детенце, се заколнува дека ќе ја состави сложувалката за својот живот, иако од некоја причина се чувствува како да е во опасност. Полека се спријателува со главниот готвач во едно пријатно ресторанче во близина за да не се опседнува со минатото, како и со една шокантна мистерија од пред неколку декади…
Во Париз, окупиран од нацистите, млада вдовица, Селин, си живее мирен живот со татко ѝ, локален цвеќар, и нејзината ќерка, Кози. Кога еден безмилосен германски офицер дознава дека семејството има еврејско потекло, тој почнува да ја уценува Селин, принудувајќи ја да му стане љубовница само за нејзиниот татко да биде безбеден. Тројцата почнуваат да кројат план за бегство, но нивната мисија скршнува во лош правец и саканиот татко и ќерка на Селин ги снаоѓа лоша судбина. Крајно вознемирена, Селин се плаши од најлошото. Но набрзо дознава дека Кози се искраднала и ја следела до станот каде што таа е заробена. Мотивирана како никогаш претходно, Селин сега мора да се бори да ја крие и заштити личноста што ја сака повеќе од сè.
Паралелната нарација се вкрстува кога Керолајн го наоѓа дневникот на Селин скриен во плакар и дознава дека ѕидовите на нејзиниот стан кријат мрачни тајни.",Романи,,Сакам книги,,,420 ден.
ПРОДАВАЧКАТА,"Јас сум резултат на светот околу мене, а светот околу мене постојано се менува.
„Продавачката“, романот продаден во над 1,5 милиони примероци, е срдечна и топла приказна за 36-годишната Кеико од Токио. Како подобро да се опише таа?
Кеико никогаш не успеала да се вклопи ниту во своето семејство ниту во училиштето. Дури кога на 18 години почнува да работи во еден минимаркет, успева да ја најде својата животна цел. Кеико таму е среќна, се чувствува своја и безбедна. Но нејзиното семејство секојдневно ја притиска да започне соодветна кариера, да најде сопруг и да живее наспроти сите нејзини мечти за среќа. Да живее „нормално“.
Брилијантен роман за невклопувањето и чувството дека не сме разбрани. Книга што ќе ве поттикне да ги тргнете маските, да го најдете клучот за себеприфаќање, да заборавите на сите дефиниции за среќа и во срцето да си го најдете својот минимаркет во кој на залиха вечно ќе го имате своето задоволство. Уживајте во себепотрагата додека Кеико ужива во себеси!
Возбудлив, чуден и забавен јапонски роман. Предизвикувачки и непредвидлив. Целата книга ми е подвлечена!
Сали Руни
„Продавачката“ е скапоцен камен. Необична, потресна, тивка, а длабока – вистински подарок за секој што барем еднаш се почувствувал како да не припаѓа во овој свет – а ако сме сосем искрени, тоа би бил речиси секој од нас.
Рут Озеки",Романи,Сајака Мурата,ТРИ,2025,120,300 ден.
МОСТОТ НА ДРИНА,"Со ова дело во светската литература монументално се воспева мостот во Вишеград како многуслојна врска помеѓу вековите и помеѓу Ориентот и Западот.
Користејќи го овој објект како симбол за вкрстувањето на различните култури и цивилизации, Андриќ ја раскажува приказната за подемите и падовите на империите и за драматичните историски промени и пресврти во босанското општество од крајот на XVI век до почетокот на Првата светска војна, но претставува и редица впечатливи ликови кои се појавуваат и исчезнуваат во лавиринтите на минатото.
Мостот им одолева на виорите на историјата, а со својата величественост и со осамената убавина се воздигнува не само над градот, туку и над времето. Токму тој е главниот лик на овој роман – истовремено и сведок на мноштво засебни човечки трагедии и постојан и неуморен набљудувач на сменувањето на крупни епохи и општествени парадигми. Мостот на некој начин претставува спротивност на човечките судбини кои се минливи во однос на камената градба, која опстојува и покрај сите неприлики.
„Мостот на Дрина“ е еден од најголемите книжевни споменици за животот на луѓето од балканските простори, а во чест на овој роман, со помош на режисерот Емир Кустурица, во 2012 година изграден е Андриќград кој се наоѓа на самото устие на реките Дрина и Рзав во Вишеград.",Романи,Иво Андриќ,Антолог-Боокс ДООЕЛ,,,550 ден.
ЉУБОВ ВО ТЕЛ АВИВ,"Луна е млада и независна девојка, успешен професионален фотограф која си ја обожува својата работа. Позитивна, љубезна, полна со живот и прекрасен пријател. Мислејќи дека го живее животот од соништата и наскоро ќе биде запросена од нејзиното долгогодишно момче, Луна се соочува со големо предавство кое ѝ го крши срцето и ѝ ја уништува довербата во мажите и надежта во љубовта. Сакајќи да се оттргне од реалноста, сосема случајно, со своите пријателки планираат спонтано патување. Луна не е свесна дека сѐ ќе се промени кога нејзиниот поглед ќе се сретне со погледот на црноокиот згоден странец.
Бен не верува во врски, тој е заколнат ерген. Тајната и болката кои се кријат зад црните очи на убавиот странец го прават воздржан и ладен, маж кој многу добро ги контролира своите чувства и зборот љубов одамна не е дел од неговиот речник, сѐ додека не се појави Луна во неговиот живот.
Дали Луна ќе успее да ги размрда неговите чувства, да ги пробие високите ѕидови кои тој ги изградил околу себе и да му се пикне под кожа?
Дали е таа спремна да остави сѐ зад себе, повторно да ризикува нејзиното срце да биде скршено и да започне нов живот на сосема ново место?",Романи,Сандра Малетски,Сакам книги,,,370 ден.
"ПРЕКРАСЕН СВЕТУ, КАДЕ СИ","Емоционална драма што се чита во еден здив
Ретки се длабоките пријателства како она на младата романсиерка Алис и Ејлин, уредничка во книжевно списание во Даблин. Нивните семејни и љубовни врски се полни со подеми и падови, страст и очај, нежност и навреди, целосна близина и недоречености. Нивната преписка покажува длабоко разбирање и на минатите случувања и на современите луѓе – како се чувствуваат, како и за што размислуваат. Тие се растргнати меѓу глобалните и интимните проблеми, градејќи ставови врз основа на сериозни анализи, но честопати и од непроверени информации на Интернет.
Алис и Феликс, Ејлин и Сајмон – две љубовни двојки кои се привлекуваат и одбиваат, се зближуваат и оддалечуваат. Загрижени за своите животи, за времето што ги гази, за случувањата во семејствата и светот... што преживуваат зад затворените врати на своите соби? Наоѓаат ли начин да веруваат дека овој свет – единствениот што го имаме – е навистина прекрасен? Сали Руни со оваа книга создава уметност додека сè друго се распаѓа.
„Филозофска и романтична трагикомедија за начините на кои луѓето се сакаат и се повредуваат меѓусебно.“
Киркус ривју
„Сали Руни создаде свој личен стил. Сончев и остар.“
Вог",Романи,Сали Руни,ТРИ,,,500 ден.
СПОМЕНОТ НА НЕГО - КОЛИН ХУВЕР,"По отслужувањето затворска казна од пет години за трагична грешка од минатото, Кена Роуан се враќа во градот каде што се случила трагедијата, надевајќи се дека ќе добие втора шанса со својата четиригодишна ќерка. Но се покажува дека е невозможно одново да се изградат мостовите кои ги изгорела во минатото. Сите во животот на ќерка ѝ се цврсто решени да не ѝ дозволат на Кена да ѝ се доближи, без разлика колку таа се труди да се докаже.
Единствената личност која не ѝ ја затвора целосно вратата е Леџер Ворд, сопственик на локален бар и една од малкуте преостанати личности кои ја поврзуваат со ќерка ѝ. Но ако некој дознае дека Леџер полека станува важен дел од животот на Кена, двајцата ризикуваат да ја изгубат довербата на сите кои им се битни.
Нивната блискост расте и покрај притисоците околу нив, но истовремено расте и ризикот. Кена мора да најде начин да се искупи за грешките од минатото ако сака да изгради иднина во која ќе има надеж, исцелување и простување.",Љубовни романи,Колин Хувер,Сакам книги,,,490 ден.
ИДИОТ,"Враќајќи се во Санкт Петербург од швајцарски санаториум, нежниот и наивен епилептичен кнез Мишкин – познат како „идиот“ – оди во посета на својот далечен роднина генерал Епанчин и продолжува да го шармира генералот и неговото семејство. Но, животот му се исполнува со превирања кога случајно ќе види фотографија од убавата Настасја Филиповна. Целосно обземен од неа, тој наскоро запаѓа во љубовен триаголник и е вовлечен во мрежа од уцени, предавство и, на крајот, убиство. Во ликот на кнезот Мишкин, Достоевски ја прикажува чистотата на „навистина убава душа“ и ги истражува опасностите со кои се соочува невиноста и добрината во еден расипан свет.",Романи,Фјодор М. Достоевски,Конгресен Сервисен Центар,,,700 ден.
АМЕРИКА,"Првиот и веројатно најведар роман на Кафка ја раскажува приказната за седумнаесетгодишниот Карл Росман, кој по една засрамувачка сексуална авантура со слугинката е „спакуван за Америка“ од страна на родителите. Очекувајќи да се искупи себеси во оваа „магична земја на можности“, младиот Карл е занесен од изобличени настани и вртоглави авантури.
Кафка никогаш ја немал посетено Америка и уште од првите страници на книгата очигледно е дека не му било целта да даде некаква реална претстава за неа. Слики од имагинарни пејзажи, злокобни опасности, безизлезни ситуации, постојани неправди и гротескни тензии меѓу ликовите го карактеризираат овој генијален роман.
„Америка“ е зачудувачки модерна и визионерска пародија за континентот што буди најразлични асоцијации и чувства, но и многу повеќе од тоа.",Романи,Франц Кафка,Антолог-Боокс ДООЕЛ,,,400 ден.
ПРИКАЗНА ЗА ТРИТЕ ГРАДА,"Маџунков, Митко (Струмица, 19 III 1943), раскажувач, романсиер, драмски автор, есеист. Гимназија има завршено во Струмица, а Филолошки факултет (светска книжевност со теорија на книжевноста) во Белград.
Работниот век го поминал главно во Библиотеката на градот Белград. Некои книги му се објавени првобитно нa српски јазик. Добитник е на повеќе книжевни награди и признанија: Исидора Секулиќ, Рациново признание, Војдан Чернодрински, Роман на годината на Детска радост, Книга на годината на Македонската книжевна фондација, Роман на годината на Утрински весник; добитник е на Државната награда 11 Октомври, на Наградата за животно дело „Војдан Чернодрински“, а двапати ја има добиено и годишната награда на град Струмица.
Се занимавал со преведување, а и самиот е преведуван на повеќе јазици. Застапен е во домашни и странски антологии. Во 2006 година се врати од Белград да живее во Македонија. Член е на МАНУ.",Романи,Митко Маџунков,ТРИ,,,250 ден.
100 ПРОЦЕНТИ,"Андерс Рослунд докажува дека е еден од најдобрите автори на крими-трилери на нашево време.
„Значи, ми велиш дека наеднаш сме се нашле во некој… што знам, крими роман со сериски убијци? Знаеш дека не се занимавам со такви работи, никогаш не сум се занимавал – од едноставна причина што во Шведска нема сериски убијци, никогаш немало.“Но, доколку нема сериски убијци во Шведска, тогаш:Зошто некој некому му ја исцедил целата крв од телото?Зошто некој искршил до најмалото ковче друго тело и зошто некој спржил трето тело со разни течности?И, всушност, колку е сигурен како доказ примерокот од ДНК? Конечно, што навистина му се случило на детективот за крвни деликти Еверт Гренс, кој си пукал в глава сакајќи да стави крај на сè?
Немилосрден трилер што е невозможно да се испушти од раце додека не се дочита докрај.",Трилери,Андерс Рослунд,Антолог-Боокс ДООЕЛ,,,500 ден.
ПРОЕКТОТ АВТЕНТИЧНОСТ,"Што би се случило кога сите би ја кажувале вистината?
Приказна за една обична бледозелена тетратка која ги менува животите на неколку ликови откривајќи им вредни животни лекции.
Џулијан Џесоп е осамен ексцентричен уметник кој верува дека луѓето никогаш не се целосно искрени. Прашувајќи се што би се случило кога сите би ја говореле вистината, својата ја запишува во обична бледозелена тетратка што ја остава во еден мал ресторан. Кога ќе ја најде, Моника решава да му помогне на Џулијан да ја преброди осаменоста и организира курс по сликање. А потоа ја раскажува својата животна приказна и ја остава тетратката во блискиот вински бар.
Моника и Џулијан не можат ни да претпостават колку нивната искреност влијае врз сите кои ќе ја пронајдат тетратката и на кој начин таа ќе им го промени животот. Еден по еден, тие ја споделуваат сопствената приказна – чин што носи слободување, им ги открива скриените потенцијали и безбројните можности што ги нуди животот.
„Топла книжевна прегратка, книга која несомнено ќе ве расположи.“
Вашингтон пост
„Топла и нежна приказна за придобивките од храброста да се покаже своето вистинско лице со сите несовршености.“
Пипл",Романи,Клер Пули,ТРИ,,,500 ден.
ИЛУЗИИ,"Во воздушниот простор меѓу полињата со пченка во Илиноис и сината бесконечност, еден маж одлучува да му верува на пропелерот на својот двокрилец. За разочараниот писател и пилот Ричард Бах вербата е вистинска колку и полниот резервоар и искрите кои ги испуштаат цилиндрите... сè додека не го запознае Доналд Шимода – поранешен механичар и таканаречен месија, кој умее да ги натера клучевите да летаат и кој ја распламтува Ричардовата имагинација...
Во Илузии Ричард Бах лета со својот двокрилец обидувајќи се да ги одгатне безвременските вистини што им даваат крилја на нашите души: дека на луѓето не им се потребни авиони за да летаат; дека и зад најцрните облаци блеска светлина штом ќе успееме да се издигнеме над нив; дека луѓето може да ги најдат месиите на најнеочекувани места – на пример, во полињата со сено, во малите гратчиња и, пред сè, во самите себе.
Дали е лесно да се биде месија во современиот свет? Дали во секого од нас не се крие неразбуден духовен учител? Дали веќе го имаме сето знаење што ни е потребно, и на кое треба само да се потсетиме? Ричард Бах поттикнува милиони читатели да се замислат над овие прашања.",Романи,Ричард Бах,ТРИ,,,250 ден.
ЛАЖЛИВИОТ ЖИВОТ НА ВОЗРАСНИТЕ,"Уште една неаполска приказна за преминот од детството во светот на возрасните
Убавото лице на 13-годишната Џована почнува да се менува и да огрдува и таа сè повеќе заличува на тетка ѝ. Барем така мисли нејзиниот татко. Но дали таа ги гледа работите такви какви што навистина се? Дали се претвора во Викторија, жена која одвај ја познава, a која нејзините родители очигледно ја презираат? Во кое огледало би требало да се погледне за да се најде себеси и да успее да се засака и да се спаси?
Џована го бара својот одраз во двете линии на нејзиното семејство, во двете крајности на сопствената личност. Растргната меѓу двата спротивни краја на родниот Неапол, меѓу височината и приземноста, префинетоста и вулгарноста, таа се впушта во една мачна потрага по вистината. Проникнувањето во долгогодишните семејни тајни ќе ѝ го открие нејзиното вистинско лице.
Новиот роман на славната Елена Феранте е уште еден доказ за нејзиното ненадминато мајсторство да ги извлече читателите од реалноста и да ги пресели во својот совршено изграден книжевен свет.
„Феранте толку умешно нè вовлекува во тинејџерскиот ум што сето она што изгледа неразумно – променливи расположенија, љубомора, страв, солзи и бес, ни се чини сосем нормално.“
Тајмс, Велика Британија",Романи,Елена Феранте,ТРИ,,,338 ден. 450 ден.
АМЕРИКАНСКА ПРАШИНА,"Лидија Перез живее во мексиканскиот град Акапулко, со синот Лука и сопругот кој е новинар. Иако знае дека никогаш нема да се продадат, Лидија во книжарницата што ја води чува некои од своите омилени книги. Еден ден, во продавницата влегува маж и меѓу другите купува и две од тие нејзините книги. Хавиер е шармантен, но излегува дека е шеф на најновиот наркокартел во градот. Откако сопругот на Лидија ќе ја објави својата статија за Хавиер, нивните животи повеќе нема да бидат исти.
Американска прашина е книга исполнета со драма и хуманост на секоја страница. Ретка потрага по судбините на луѓето кои се подготвени да жртвуваат сѐ за малку надеж. Важен глас во дискусијата за имиграцијата и изгубените надежи за подостоинствен живот.",Романи,Џенин Каминс,ТРИ,,,500 ден.
СЕДУМТЕ СЕСТРИ: ПРИКАЗНАТА НА МАЈА,,Романи,Лусинда Рајли,Матица,,,550 ден.
1Q84 (КНИГА 2),"Ако во светот нема љубов сè е илузија и имитација
Во вториот том Аомаме и Тенго со невообичаено испреплетените околности ги потврдуваат своите сомневања дека се наоѓаат во друго време - во годината 1Q84 - од кое не можат да се вратат назад во 1984 година и во своето реално време. Нивната љубов иако создадена само со еден стисок на рака во детството е единственото вистинско и реално во романот. Таа е двигател на сите збиднувања и јакне наспроти нивната раздвоеност а тие сè повеќе и повеќе се приближуваат еден кон друг.
Во ова продолжение, Мураками продлабочено се занимава со философски теми, со односот помеѓу доброто и злото, вината и казната и, пред сè, со смислата на животот, стравот од смртта, жртвувањето, но и со семејните врски и, неизбежно, со љубовта.Познат во Јапонија (заради тоа честопати критикуван) како писател што внесува премногу западна традиција во своите романи, Мураками оваа приказна за универзалните теми заеднички за целиот свет, ја бојосува повеќе од кога и да е порано со источната философија и со јапонскиот начин на живеење, особено со кујната, чии состојки нè замелушуваат на секоја страница.Продолжува во третиот дел...",Романи,Харуки Мураками,ТРИ,,,500 ден.
ПОД ТУЃО СОНЦЕ,"Овој роман донесува впечатлива приказна за судирите помеѓу личните и општествените вредности, нагласувајќи ја борбата за автентичност. Приказната почнува една дождлива ноќ, во такси-возилото број 382, кога Коста Рашиќ, пензиониран мајор, решава да тргне на пат за Крф. Откако ја продал куќата во која израснал за да ги врати долговите, за првпат ќе зачекори надвор од границите на својата земја, во потрага по вистината, неговото единствено преостанато прибежиште.
Случајната средба со Марија, таксистка што таа ноќ ќе стане негов придружник, ќе го предодреди сето тоа што потоа ќе се случи „под туѓо сонце“. Коста сака да се соочи со себе и со остатоците од својот живот, а Марија сака да избега од себе и од својот живот. Точката што ги раздвојува ќе стане точка во која ќе се сретнат нивните сеќавања. Во исто време, таа ќе го придвижи невидливиот животен механизам, во кој секогаш се открива дека сè е возможно. Нивната приказна открива како поединецот се справува со предизвиците во светот што често не пружа втора шанса. Со елементи на драма и интроспекција, најновиот роман на Миодраг Мајиќ се издвојува како дело што го плени вниманието и поставува прашања за правдата, љубовта и одговорноста.",Романи,Миодраг Мајиќ,Антолог-Боокс ДООЕЛ,,,450 ден.
ЖЕНСКИ ДЕКАМЕРОН,"„Женски декамерон“ е книга за десет млади советски жени, кои ќе се најдат во исто породилиште во Ленинград, во период кога во таа установа е воведен карантин. Тие ќе мораат да поминат таму уште десет дена, нешто што, секако, воопшто не ги радува. Тогаш на едната од нив ѝ текнува да ја повтори приказната што прв ја раскажал фирентинскиот писател Бокачо; имено, за време на десетте дена да се забавуваат  раскажувајќи си приказни за животот, за мажите, за љубовта, за љубомората, за неверствата, за заведувањето, за фарсичниот секс, за парите, за среќата и за многу други нешта што ја возбудуваат секоја женска душа, вклучително и руската.
Предлогот е едногласно прифатен и во тие десет дена жените раскажуваат сто приказни – по една приказна на ден од секоја од нив – во кои се насетува суровата реалност на едно општество распарчено од самоубиства, разводи и алкохолизам, сиромаштија, закани за ужасни затворски казни. Истовремено, од оваа книга зрачи страсна верба во духовната сила на руската жена, со која сочувствуваат читателите низ цел свет.",Романи,Јулија Вознесенскаја,Антолог-Боокс ДООЕЛ,,,400 ден.
